date,Account,sentiment_category,daily_pnl,median_position_size,trade_count,win_rate,long_ratio,sentiment_value,estimated_volume,pnl_per_dollar,cluster,archetype,profit_binary,target_next_day_profit
2025-02-24,0x083384f897ee0f19899168e3b1bec365f52a9012,Neutral,10152.12224,12206.78,59,0.5254237288135594,0.5254237288135594,49.0,720200.02,0.014096253760170681,2,The Gamblers,1,1.0
2025-02-25,0x083384f897ee0f19899168e3b1bec365f52a9012,Fear,115445.395538,1029.75,219,0.4246575342465753,0.4246575342465753,25.0,225515.25,0.5119183538053413,2,The Gamblers,1,1.0
2025-02-28,0x083384f897ee0f19899168e3b1bec365f52a9012,Fear,115287.0,916.72,55,0.01818181818181818,0.01818181818181818,16.0,50419.6,2.286551261810883,0,The Whales,1,1.0
2025-03-01,0x083384f897ee0f19899168e3b1bec365f52a9012,Fear,9482.221441,2999.15,45,0.8,0.8,20.0,134961.75,0.0702585839395236,2,The Gamblers,1,1.0
2025-03-03,0x083384f897ee0f19899168e3b1bec365f52a9012,Fear,533974.662903,1017.21,641,0.8424336973478939,0.8424336973478939,33.0,652031.61,0.8189398408199873,2,The Gamblers,1,1.0
2025-03-24,0x083384f897ee0f19899168e3b1bec365f52a9012,Neutral,40200.0,29215.05,5,0.8,0.8,45.0,146075.25,0.27520062433574477,2,The Gamblers,1,1.0
2025-04-12,0x083384f897ee0f19899168e3b1bec365f52a9012,Fear,307855.80341,138.95,31,1.0,1.0,43.0,4307.45,71.4705460098202,2,The Gamblers,1,
2024-11-30,0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,Greed,11715.94323,1190.66,55,0.8363636363636363,0.14545454545454545,84.0,65486.3,0.1789067824873294,2,The Gamblers,1,0.0
2024-12-01,0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,Greed,0.0,0.06,1,0.0,0.0,81.0,0.06,0.0,0,The Whales,0,0.0
2024-12-06,0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,Greed,0.0,398.63,34,0.0,1.0,72.0,13553.42,0.0,0,The Whales,0,1.0
2024-12-07,0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,Greed,3515.031065,148.86,26,0.9615384615384616,0.0,75.0,3870.3600000000006,0.9081922779793093,2,The Gamblers,1,0.0
2024-12-09,0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,Greed,0.0,924.165,46,0.0,1.0,78.0,42511.59,0.0,0,The Whales,0,1.0
2024-12-10,0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,Greed,2517.787385,534.595,64,0.984375,0.0,78.0,34214.08,0.07358921780156005,2,The Gamblers,1,1.0
2024-12-18,0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,Greed,1613.165903,801.92,59,0.2542372881355932,0.7457627118644068,81.0,47313.28,0.03409541471231756,0,The Whales,1,0.0
2024-12-19,0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,Greed,0.0,0.11,1,0.0,0.0,75.0,0.11,0.0,0,The Whales,0,1.0
2024-12-20,0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,Greed,1245.51851,9362.675,34,0.6176470588235294,0.38235294117647056,74.0,318330.94999999995,0.003912652885306943,2,The Gamblers,1,0.0
2025-01-13,0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,Greed,0.0,73.33,13,0.0,1.0,61.0,953.29,0.0,0,The Whales,0,1.0
